,Reviewer Name,Review Title,Review Text,Reviewed Date,Review Rating
10,Vishwa Shah,Impressed,"Vishwa Shah M30 - 4+64 It's really amazing,the phone looks great the features are up to the mark .it has got everything which someone would want in a phone, really loved it ...also the picture quality is way too good and the sound effect as well.
The phone is speedy and the battery lasts longer too.
It is also very easy to use and equally easy to carry and handle and looks pretty cool it has got every possible required features and I will highly recommend people to go for this amazingly great phone
Samsung has actually done a great job,thank you!!! Y'all wouldn't regret buying this phone and it is so affordable.",11 March 2019,5
11,Durga prasad,Not working properly,Charging is not getting done. Once switch on the mobile. Within 1 minute charging getting 0 and switch off. When switch on again its showing 70% and same getting switch off. Not getting charging while mobile is on,22 March 2019,1
12,Nitish Singh,A great phone for an non-gamer,"First things first,
The phone is not for everyone. You may be thinking you should get a gaming phone at this price. But it is not.
However, the good news is that there are other good phones in this price range if you are looking for a gaming device and especially looking to buy it for playing PUBG. Trust me, do not buy this phone if you are into gaming.

So, who should buy the device? Any non-gamer user who loves other aspects of the phone such as a display, battery, camera and so on.

Display
The display is the most stunning feature of the Samsung M30. It is vibrant and simply stands out. I compared it with my POCO F1 and found it more vibrant, clear and with a punchy contrast. But that doesn't mean POCO F1 display is bad. At 15K, you are getting one heck of a deal when it comes to the display.

Another thing that I noticed is the great body to screen ration. It almost covers the whole screen.

Processor and RAM
As we said earlier, the processor is not up to mark when it comes to running heavy apps such as games. But for an average user like me and you, who love to do calls, read messages and run the basic application, the phone will be more than enough. It will not go slow while using the available RAM(4GB in my case).

Battery
5000mAh battery is super awesome! It is another selling point for the phone. If you are looking for a big battery then the phone is for you. Also, the processor and OS are optimized for each other which makes the battery last longer.

Camera
I didn't test camera that much. But, it does look nice. You can take nice photos. But the camera does not perform best in low light conditions which is okay for a phone priced at 15K.

OS
I tried Samsung OS for the first time. I found it pretty decent, but not outstanding. You need to navigate multiple times for basic features. But, the good thing is that the UI will help you navigate and you will eventually find the option that you are looking for.

In short
Display: One of the best
Battery: 5000mAh, more than enough for heavy one day use. Can easily last two days for normal users.
Processor + RAM: Great for normal users, not great for gamers.
OS: Decent

Overall rating: 8.5/10",13 March 2019,4
13,Rajesh Manjrekar,Awesome phone... Loved it!!!!!,"This is the best phone i found at this price range. I just loved it. It is super fast and the screen is just beautiful thanks to the Amoled fhd display. The fast charging charges the phone in no time. More ever the 5000 mah battery is a just incredible at the end of day i have around 30% juice remaining!!!! For a pubg lover like me... All i can say is the phone is very very smooth no lags, no frame drops and the big screen gives the best experience 😍. I also liked the front camera which clicks amazing selfies coming to the back camera its just Lit!! The photos look real and natural colours are preserved as well. All i can say is its a stunning phone worth the price.... Loved it!!!",13 March 2019,5
14,Ankur,Value for money - A truly practical phone,"I have chosen this product over other mobiles in this price range for below reasons :
1. Big battery(5000mah -others have only 4000mah)
2. Triple card slot(believe me this matters though we tend to ignore this point but for those who use double sim ... we would definitely need to use both sims and one memory chip)
3. Super amoled display (again other mobiles simply don't have it)
4. Fast charging + fast charger in-the- box
5. Wide angle camera- useful for big family photos
6. Samsung trust factor

Now after using our fire two full days below are pros and cons I found :

Pros:
---------
1. Battery - Simply awesome. I first charged it yesterday 9.30 AM (100%). Since I did below tasks throughout yesterday and today and it went to 10% today at 6.44 PM ( so 1 day & 9 hrs) :
▪ Audio calls
▪ video calls
▪ internet browsing
▪ listening to songs (headphone and speaker both)
▪ watching movie (Netflix) and YouTube
▪ setting up phone( usual setting for a new phone - so basically screen was on)
▪ playing games( asphalt 9, dead target, fruit ninja) - all games ran without single stutter

2. Screen- simply beautiful
Being amoled display it show very deep colours which u won't see in normal fhd lcd/tft displays.

As soon as u will see other mobiles without amoled u will notice the difference.
3. UI is smooth and gestures are nice.
4. Always on display gives our result premium look ( though our drains battery faster)
5. Headphone quality is very nice
6. Call quality is also very nice( the most important feature of any phone but we least bother about it nowadays 😉)
7. Charging time nice for 5000 mah battery- 2.15 hrs >> 10% to 100%)
8. Camera is decent (not the best int this price range)

Cons:
---------
1. Processor works fine though but i felt slight stutters here n there (but fortunately it worked really nice for three games i played as mentioned above)
2. Camera doesn't perform well in low light conditions) [but works great in day light]

Till now i m seriously enjoying using this phone even people in my office are appreciating our thanks to its stunning display.

For me its truly practical phone for my requirement as I m not a serious gamer but i will post updated review on 18th before its next sale on 19th so that u can decide if this phone is for you or not",16 March 2019,5
15,Shanu siddiqui,Bad product,It's just the 3rd day and proximity sensor is not working in this device and ear piece is heating up while on call. Phone is slow and not a right choice for 15k. Please consider other brand products this phone is not good for regular usage as well.,13 March 2019,1
16,rakesh,Dont purchase this phone it is worst for money,"I am giving 1 star for Amazon service and 2 star for this phone camera quality is not better and I used two days heating problem comes. If you buy this phone from Amazon then it will not be replaceable and returned because a smart check app made for phone performance checking, it always shows right in all parameters. In this way you won't be able to replace / return this phone. So I suggest Dont purchase this phone Samsung Galaxy M30 from Amazon if it defective found it won't be replaced",15 March 2019,1
17,MIR,Don't buy any Samsung phone with exynos processor..,Good looking fone nice display asusual from Samsung I loved Samsung phone but now since they start using there exynos processors in there fones there phones have become a crap..till note 2 everything was fine..but after note 2 I bought j7 2016 it had network issues then finally I sold it for peanuts..then I didn't buy Samsung for a year I used other brands and was happy with there performance..but as I said I always liked Samsung Mobile..so I thought to give one more try to newly launched Samsung m30 I bought it on first day sale..but to shock me it had same networks issues as I had with j7 2016..very slow internet like 2G speed ..so I was sure its again same exynos processor problem..so called the Amazon cor the same they said technician ll visit to check the phone and technician said the same this phone had hardware problems. It's just I know coz of exynos processor..now they are going to replace it with new one but I have no trust that even second replaced phone ll be working well...as it ll have same issue coz of exynos processor what to do can't get refund..so only can think of I ll have better luck with replaced samsm30..pray for me..speaker quality is cranky worst than an ordinary mobile fone microphone quality is also very poor to the surprise no headphones in the box.. I must admit display is awesome...,16 March 2019,1
18,Mah,Can't turn on! error message,"Custom binary blocked by reactivation..... not sure what the hell is that mean but ""Expert chat in support says "" contact Samsung CCC as if i got plenty spare time to fix your pathetic phone issues.
There is something really wrong! you buy a product and run after solving someone else issues. samsung / customer service OPs. get a life
UPDATE: I am still continuing conversation with customer service for pickup and replacement! THIS IS HORROR",17 March 2019,1
19,Aj,Many people received Manufacturing defect phone..,I have purchased Samsung Galaxy M30 through Amazon flash sale on 19th March and received on 20th March. Upon unboxing I noticed that right corner of phone is bulged out. Now waiting for technician to inspect. I also found many people faced similar issues.,22 March 2019,1
